2020-11-21T07:29:05.611Z,ZInitializing Gyro
2020-11-21T07:29:05.643Z,Testing Gyro connections...
2020-11-21T07:29:05.675Z,Gyro connection successful
2020-11-21T07:29:05.707Z,Calibration ACCELERO...
2020-11-21T07:29:13.236Z,-0.00,0.01
2020-11-21T07:29:13.240Z,0.00,-0.00
2020-11-21T07:29:13.252Z,0.00,-0.00
2020-11-21T07:29:13.268Z,-0.00,-0.01
2020-11-21T07:29:13.284Z,-0.00,-0.00
2020-11-21T07:29:13.300Z,-0.00,-0.00
2020-11-21T07:29:13.316Z,-0.01,-0.00
2020-11-21T07:29:13.322Z,-0.00,0.00
2020-11-21T07:29:13.332Z,0.01,0.00
2020-11-21T07:29:13.348Z,-0.00,-0.00
2020-11-21T07:29:13.364Z,0.00,0.01
2020-11-21T07:29:13.379Z,0.00,-0.01
2020-11-21T07:29:13.380Z,-0.00,0.01
2020-11-21T07:29:13.396Z,0.00,0.00
2020-11-21T07:29:13.411Z,-0.00,-0.01
2020-11-21T07:29:13.427Z,-0.00,0.00
2020-11-21T07:29:13.428Z,0.00,-0.00
2020-11-21T07:29:13.443Z,0.01,0.00
2020-11-21T07:29:13.459Z,-0.00,0.00
2020-11-21T07:29:13.475Z,-0.00,0.00
2020-11-21T07:29:13.476Z,0.00,0.00
2020-11-21T07:29:13.491Z,0.01,-0.00
2020-11-21T07:29:13.507Z,0.00,-0.00
2020-11-21T07:29:13.523Z,-0.00,-0.00
2020-11-21T07:29:13.539Z,0.00,-0.01
2020-11-21T07:29:13.540Z,0.00,0.00
2020-11-21T07:29:13.555Z,-0.01,-0.00
2020-11-21T07:29:13.571Z,-0.00,-0.00
2020-11-21T07:29:13.587Z,-0.00,-0.00
2020-11-21T07:29:13.603Z,-0.00,0.01
2020-11-21T07:29:13.606Z,0.00,0.01
2020-11-21T07:29:13.619Z,0.00,0.01
2020-11-21T07:29:13.635Z,0.00,0.00
2020-11-21T07:29:13.651Z,0.00,-0.00
2020-11-21T07:29:13.657Z,0.00,-0.00
2020-11-21T07:29:13.667Z,0.00,0.00
2020-11-21T07:29:13.683Z,-0.01,0.00
2020-11-21T07:29:13.699Z,-0.00,0.00
2020-11-21T07:29:13.715Z,-0.00,0.00
2020-11-21T07:29:13.715Z,-0.00,0.00
2020-11-21T07:29:13.731Z,-0.00,-0.00
2020-11-21T07:29:13.746Z,-0.00,0.00
2020-11-21T07:29:13.762Z,0.00,-0.00
2020-11-21T07:29:13.763Z,0.00,0.01
2020-11-21T07:29:13.778Z,0.00,0.01
