2020-11-19T11:32:08.464Z,3Initializing Gyro
2020-11-19T11:32:08.496Z,Testing Gyro connections...
2020-11-19T11:32:08.528Z,Gyro connection successful
2020-11-19T11:32:08.560Z,Calibration ACCELERO...
2020-11-19T11:32:14.844Z,-0.06,0.55
2020-11-19T11:32:14.860Z,-0.06,0.55
2020-11-19T11:32:14.861Z,-0.05,0.56
2020-11-19T11:32:14.877Z,-0.05,0.56
2020-11-19T11:32:14.892Z,-0.06,0.56
2020-11-19T11:32:14.908Z,-0.05,0.56
2020-11-19T11:32:14.912Z,-0.05,0.57
2020-11-19T11:32:14.924Z,-0.05,0.57
2020-11-19T11:32:14.940Z,-0.06,0.56
2020-11-19T11:32:14.958Z,-0.06,0.55
2020-11-19T11:32:14.972Z,-0.05,0.55
2020-11-19T11:32:14.973Z,-0.05,0.55
2020-11-19T11:32:14.988Z,-0.05,0.56
2020-11-19T11:32:15.004Z,-0.05,0.56
2020-11-19T11:32:15.020Z,-0.05,0.56
2020-11-19T11:32:15.036Z,-0.05,0.57
2020-11-19T11:32:15.036Z,-0.05,0.56
2020-11-19T11:32:15.052Z,-0.06,0.56
2020-11-19T11:32:15.068Z,-0.05,0.57
2020-11-19T11:32:15.084Z,-0.05,0.55
2020-11-19T11:32:15.084Z,-0.06,0.55
2020-11-19T11:32:15.100Z,-0.05,0.55
2020-11-19T11:32:15.116Z,-0.06,0.56
2020-11-19T11:32:15.132Z,-0.05,0.56
2020-11-19T11:32:15.147Z,-0.05,0.56
2020-11-19T11:32:15.148Z,-0.06,0.56
2020-11-19T11:32:15.163Z,-0.05,0.57
2020-11-19T11:32:15.179Z,-0.05,0.56
2020-11-19T11:32:15.195Z,-0.06,0.56
2020-11-19T11:32:15.212Z,-0.05,0.56
2020-11-19T11:32:15.213Z,-0.05,0.56
2020-11-19T11:32:15.227Z,-0.05,0.55
2020-11-19T11:32:15.243Z,-0.05,0.57
2020-11-19T11:32:15.259Z,-0.05,0.56
2020-11-19T11:32:15.261Z,-0.06,0.56
2020-11-19T11:32:15.275Z,-0.06,0.57
2020-11-19T11:32:15.291Z,-0.06,0.57
2020-11-19T11:32:15.307Z,-0.05,0.56
2020-11-19T11:32:15.323Z,-0.05,0.57
2020-11-19T11:32:15.323Z,-0.05,0.56
2020-11-19T11:32:15.339Z,-0.04,0.56
2020-11-19T11:32:15.355Z,-0.05,0.56
2020-11-19T11:32:15.371Z,-0.06,0.56
2020-11-19T11:32:15.387Z,-0.05,0.56
2020-11-19T11:32:15.388Z,-0.05,0.57
2020-11-19T11:32:15.403Z,-0.06,0.56
2020-11-19T11:32:15.419Z,-0.05,0.56
2020-11-19T11:32:15.435Z,-0.05,0.57
2020-11-19T11:32:15.448Z,-0.05,0.56
2020-11-19T11:32:15.452Z,-0.05,0.56
2020-11-19T11:32:15.467Z,-0.05,0.57
2020-11-19T11:32:15.482Z,-0.05,0.56
2020-11-19T11:32:15.498Z,-0.05,0.56
2020-11-19T11:32:15.499Z,-0.05,0.56
2020-11-19T11:32:15.514Z,-0.06,0.56
2020-11-19T11:32:15.530Z,-0.06,0.58
2020-11-19T11:32:15.546Z,-0.06,0.56
2020-11-19T11:32:15.562Z,-0.06,0.57
2020-11-19T11:32:15.563Z,-0.05,0.56
2020-11-19T11:32:15.578Z,-0.05,0.57
2020-11-19T11:32:15.594Z,-0.05,0.57
2020-11-19T11:32:15.610Z,-0.05,0.56
2020-11-19T11:32:15.611Z,-0.05,0.56
2020-11-19T11:32:15.626Z,-0.06,0.56
2020-11-19T11:32:15.642Z,-0.06,0.56
2020-11-19T11:32:15.658Z,-0.06,0.56
2020-11-19T11:32:15.674Z,-0.06,0.57
2020-11-19T11:32:15.678Z,-0.05,0.56
2020-11-19T11:32:15.690Z,-0.05,0.56
2020-11-19T11:32:15.706Z,-0.05,0.56
