timestamp,x,z
14:02:28:259,0.005,-0.16
14:02:28:292,-0.008,-0.136
14:02:28:319,0.042,-0.12
14:02:28:350,0.009,-0.179
14:02:28:381,-0.048,-0.114
14:02:28:414,0.027,-0.137
14:02:28:447,0.009,-0.102
14:02:28:478,-0.019,-0.157
14:02:28:509,0.011,-0.155
14:02:28:541,-0.021,-0.14
14:02:28:568,0.043,-0.19
14:02:28:604,0.014,-0.132
14:02:28:635,0.009,-0.115
14:02:28:662,0.03,-0.105
14:02:28:696,0.05,-0.037
14:02:28:727,-0.069,-0.101
14:02:28:758,0.002,-0.134
14:02:28:791,0.024,-0.154
14:02:28:818,0.042,-0.133
14:02:28:854,-0.04,-0.166
14:02:28:885,-0.013,-0.138
14:02:28:912,0.023,-0.139
14:02:28:945,0.028,-0.118
14:02:28:976,-0.026,-0.155
14:02:29:007,0.001,-0.141
14:02:29:040,-0.026,-0.082
14:02:29:073,0.061,-0.175
14:02:29:105,-0.02,-0.107
14:02:29:131,0.036,-0.151
14:02:29:164,0.007,-0.104
14:02:29:197,0.054,-0.124
14:02:29:228,0.015,-0.145
14:02:29:259,-0.023,-0.19
14:02:29:292,-0.011,-0.061
14:02:29:319,0.057,-0.2
14:02:29:350,-0.036,-0.101
14:02:29:381,0.032,-0.157
14:02:29:414,0.019,-0.103
14:02:29:448,0.043,-0.14
14:02:29:479,0.016,-0.151
14:02:29:510,-0.018,-0.136
14:02:29:543,0.057,-0.124
14:02:29:570,0.006,-0.157
14:02:29:601,-0.043,-0.16
14:02:29:632,-0.011,-0.155
14:02:29:665,-0.013,-0.134
14:02:29:698,0.056,-0.171
14:02:29:729,0.009,-0.203
14:02:29:760,-0.028,-0.149
14:02:29:793,0.035,-0.126
14:02:29:820,0.013,-0.139
14:02:29:851,-0.047,-0.16
14:02:29:882,-0.095,-0.151
14:02:29:915,-0.202,-0.054
14:02:29:947,-0.335,-0.113
14:02:29:978,-0.273,-0.124
14:02:30:009,-0.164,-0.049
14:02:30:042,0.02,-0.15
14:02:30:069,-0.101,-0.069
14:02:30:100,-0.097,-0.05
14:02:30:131,-0.079,-0.114
14:02:30:164,-0.009,-0.071
14:02:30:197,-0.052,-0.043
14:02:30:228,-0.064,-0.111
14:02:30:259,-0.014,-0.048
14:02:30:292,0.01,-0.077
14:02:30:319,-0.065,-0.099
14:02:30:350,0.138,-0.208
14:02:30:381,0.475,-0.277
14:02:30:414,0.735,-0.398
14:02:30:447,0.41,-0.354
14:02:30:479,0.127,-0.274
14:02:30:510,0.118,-0.111
14:02:30:543,0.221,-0.122
14:02:30:570,0.042,-0.044
14:02:30:601,-0.108,-0.115
14:02:30:632,0.016,-0.034
14:02:30:664,0.179,-0.093
14:02:30:697,-0.09,0.011
14:02:30:728,-0.578,0.051
14:02:30:759,-0.296,-0.049
14:02:30:792,-0.036,-0.067
14:02:30:819,-0.034,-0.029
14:02:30:850,-0.145,-0.178
14:02:30:881,-0.089,-0.091
14:02:30:914,0.147,-0.144
14:02:30:947,0.037,-0.105
14:02:30:978,-0.157,-0.097
14:02:31:009,0.034,-0.124
14:02:31:042,0.396,-0.242
14:02:31:069,0.846,0.194
14:02:31:100,0.701,-0.234
14:02:31:131,0.387,-0.185
14:02:31:164,-0.471,0.016
14:02:31:197,-0.127,-0.036
14:02:31:228,0.153,-0.074
14:02:31:259,-0.069,-0.049
14:02:31:292,-0.25,-0.074
14:02:31:319,0.013,-0.114
14:02:31:350,0.09,0.012
14:02:31:381,0.072,0.011
14:02:31:414,-0.106,-0.879
14:02:31:447,-0.256,-0.02
14:02:31:478,0.003,-0.21
14:02:31:509,-0.379,-0.244
14:02:31:542,-0.454,-0.297
14:02:31:569,0.188,-0.266
14:02:31:600,0.123,-0.143
14:02:31:635,0.074,-0.203
14:02:31:662,-0.089,-0.359
14:02:31:695,0.111,-0.21
14:02:31:726,0.23,-0.085
14:02:31:757,0.036,-0.31
14:02:31:790,-0.08,-0.162
14:02:31:823,0.264,-0.197
14:02:31:854,0.238,-0.155
14:02:31:885,0.051,-0.195
14:02:31:912,-0.079,-0.196
14:02:31:945,0.231,-0.172
14:02:31:976,0.243,-0.194
14:02:32:007,0.007,-0.201
14:02:32:040,0.028,-0.223
14:02:32:073,0.266,-0.191
14:02:32:105,0.152,-0.147
14:02:32:131,0.039,-0.239
14:02:32:164,0.02,-0.199
14:02:32:197,0.248,-0.169
14:02:32:228,0.173,-0.203
14:02:32:259,-0.019,-0.2
14:02:32:292,0.12,-0.219
14:02:32:319,0.205,-0.192
14:02:32:350,0.115,-0.181
14:02:32:381,0.024,-0.221
14:02:32:414,0.067,-0.219
14:02:32:447,0.205,-0.189
14:02:32:478,0.13,-0.186
14:02:32:509,-0.017,-0.208
14:02:32:542,0.134,-0.203
14:02:32:569,0.179,-0.194
14:02:32:600,0.011,-0.175
14:02:32:631,-0.23,-0.305
14:02:32:664,-0.239,-0.253
14:02:32:697,-0.082,-0.26
14:02:32:728,-0.023,-0.155
14:02:32:759,-0.108,-0.175
14:02:32:792,0.082,-0.194
14:02:32:819,0.033,-0.123
14:02:32:850,0.239,-0.145
14:02:32:887,0.475,-0.159
14:02:32:914,0.58,-0.102
14:02:32:946,0.401,-0.16
14:02:32:977,-0.203,-0.223
14:02:33:008,-0.55,-0.26
14:02:33:041,-0.159,-0.239
14:02:33:074,-0.193,-0.204
14:02:33:100,-0.093,-0.168
14:02:33:131,-0.089,-0.177
14:02:33:164,0.78,-0.106
14:02:33:197,0.551,-0.119
14:02:33:228,0.241,-0.102
14:02:33:259,0.317,-0.189
14:02:33:292,-0.197,-0.171
14:02:33:319,-0.524,-0.291
14:02:33:350,-0.322,-0.211
14:02:33:381,-0.342,-0.209
14:02:33:414,0.032,-0.147
14:02:33:447,0.476,-0.075
14:02:33:478,0.417,-0.128
14:02:33:509,0.272,-0.225
14:02:33:542,-0.176,-0.13
14:02:33:569,-0.336,-0.285
14:02:33:600,-0.39,-0.297
14:02:33:631,-0.219,-0.062
14:02:33:664,-0.003,-0.165
14:02:33:697,0.055,-0.217
14:02:33:728,0.732,-0.12
14:02:33:759,0.517,-0.142
14:02:33:793,0.464,-0.165
14:02:33:820,-0.014,-0.132
14:02:33:850,-0.6,-0.226
14:02:33:881,-0.382,-0.081
14:02:33:914,-0.514,-0.198
14:02:33:947,-0.229,-0.134
14:02:33:979,-0.043,-0.126
14:02:34:010,-0.035,-0.09
14:02:34:037,-0.186,-0.125
14:02:34:070,0.056,-0.132
14:02:34:101,0.061,-0.125
14:02:34:132,0.071,-0.116
14:02:34:165,-0.119,-0.112
14:02:34:198,0.01,-0.101
14:02:34:229,0.039,-0.126
14:02:34:260,-0.034,-0.098
14:02:34:294,-0.228,-0.002
14:02:34:321,0.034,-0.103
14:02:34:352,0.305,-0.211
14:02:34:383,0.51,-0.185
14:02:34:416,0.639,-0.378
14:02:34:449,0.453,-0.319
14:02:34:475,0.129,-0.116
14:02:34:506,0.142,-0.221
14:02:34:539,-0.116,-0.123
14:02:34:572,-0.046,-0.101
14:02:34:603,-0.001,-0.105
14:02:34:634,0.099,-0.14
14:02:34:667,0.011,-0.038
14:02:34:694,-0.044,-0.113
14:02:34:725,0.01,-0.054
14:02:34:761,0.113,-0.138
14:02:34:788,0.036,-0.132
14:02:34:821,-0.006,-0.186
14:02:34:852,0.102,-0.098
14:02:34:883,0.148,-0.096
14:02:34:916,0.064,-0.108
14:02:34:949,0.069,-0.152
14:02:34:975,0.056,-0.162
14:02:35:012,0.129,-0.123
14:02:35:038,0.088,-0.022
14:02:35:071,0.008,-0.173
14:02:35:102,0.092,-0.158
14:02:35:133,0.085,-0.161
14:02:35:166,0.074,-0.188
14:02:35:193,0.102,-0.162
14:02:35:229,0.1,-0.128
14:02:35:260,0.089,-0.132
14:02:35:287,0.149,-0.222
14:02:35:321,0.083,-0.127
14:02:35:352,0.135,-0.205
14:02:35:383,-0.006,-0.235
14:02:35:416,0.179,-0.135
14:02:35:443,0.099,-0.145
14:02:35:479,0.081,-0.132
14:02:35:510,0.183,-0.112
14:02:35:537,0.148,-0.194
14:02:35:570,0.107,-0.17
14:02:35:601,0.193,-0.172
14:02:35:632,0.111,-0.156
14:02:35:666,0.218,-0.22
14:02:35:699,0.195,-0.155
14:02:35:725,0.138,-0.2
14:02:35:756,0.111,-0.184
14:02:35:789,0.159,-0.181
14:02:35:822,0.184,-0.149
14:02:35:853,0.235,-0.178
14:02:35:884,0.238,-0.236
14:02:35:917,-0.113,-0.689
14:02:35:944,-0.09,-0.486
14:02:35:975,0.061,-0.378
14:02:36:006,-0.284,-0.558
14:02:36:039,0.035,-0.286
14:02:36:072,0.117,-0.265
14:02:36:103,0.074,-0.198
14:02:36:134,0.049,-0.187
14:02:36:167,0.13,-0.185
14:02:36:194,0.203,-0.142
14:02:36:225,0.089,-0.168
14:02:36:256,-0.016,-0.191
14:02:36:289,0.037,-0.247
14:02:36:322,0.164,-0.183
14:02:36:353,0.004,-0.18
14:02:36:384,0.066,-0.217
14:02:36:418,0.085,-0.176
14:02:36:445,0.044,-0.189
14:02:36:476,0.089,-0.153
14:02:36:507,0.049,-0.193
14:02:36:540,0.046,-0.188
14:02:36:572,0.087,-0.22
14:02:36:604,-0.024,-0.206
14:02:36:636,0.032,-0.201
14:02:36:663,0.079,-0.16
14:02:36:696,0.049,-0.202
14:02:36:727,-0.051,-0.129
14:02:36:758,0.065,-0.165
14:02:36:791,0.082,-0.115
14:02:36:818,0.053,-0.13
14:02:36:857,-0.062,-0.161
14:02:36:883,0.03,-0.132
14:02:36:916,0.04,-0.131
14:02:36:949,-0.091,-0.205
14:02:36:975,-0.081,-0.084
14:02:37:006,-0.019,-0.105
14:02:37:039,-0.014,-0.083
14:02:37:072,-0.015,-0.151
14:02:37:103,-0.084,-0.082
14:02:37:134,-0.033,-0.152
14:02:37:167,0.027,-0.11
14:02:37:194,-0.059,-0.074
14:02:37:225,-0.087,-0.15
14:02:37:261,-0.016,-0.079
14:02:37:288,0.005,-0.11
14:02:37:322,-0.065,-0.098
14:02:37:355,-0.064,-0.071
14:02:37:386,-0.013,-0.113
14:02:37:413,-0.016,-0.09
14:02:37:445,-0.057,-0.122
14:02:37:476,-0.082,-0.032
14:02:37:507,-0.034,-0.052
14:02:37:540,-0.009,-0.078
14:02:37:573,-0.041,-0.04
14:02:37:604,-0.01,-0.041
14:02:37:635,0.475,-0.282
14:02:37:662,0.555,-0.23
14:02:37:695,0.466,-0.357
14:02:37:726,0.19,-0.232
14:02:37:757,0.038,-0.206
14:02:37:790,0.05,-0.18
14:02:37:823,0.005,-0.066
14:02:37:854,-0.032,-0.083
14:02:37:885,-0.001,-0.096
14:02:37:918,0.019,-0.048
14:02:37:945,-0.048,-0.101
14:02:37:976,-0.044,-0.06
14:02:38:007,0.08,-0.063
14:02:38:040,0.072,-0.09
14:02:38:073,-0.018,-0.087
14:02:38:104,0.013,-0.112
14:02:38:135,-0.095,-0.271
14:02:38:168,0.223,-0.072
14:02:38:195,-0.044,-0.06
14:02:38:226,-0.026,-0.249
14:02:38:257,0.03,-0.053
14:02:38:290,0.107,-0.156
14:02:38:323,-0.019,-0.172
14:02:38:354,-0.006,-0.092
