Data info
File name: E:\Werk\jumat cipeles\CIPELES 26-11-2020 - AKSELEROMETER\kalibrasi jumat\kal 1_0116.dxd
Start time: 11/27/2020 14:24:16.330
Number of channels: 1
Sample rate: 100
Store type: always fast


Data1

Time (s)	AI 8 (um/m)
7.29	2.1771049
7.3	2.0965128
7.31	1.1025425
7.32	0.52944255
7.33	0.92344874
7.34	0.87867534
7.35	0.79808313
7.36	0.78912842
7.37	0.62794411
7.38	1.1473159
7.39	1.6845971
7.4	0.86972064
7.41	0.67271751
7.42	1.5323675
7.43	1.4338659
7.44	1.5144581
7.45	2.0069659
7.46	1.6935518
7.47	1.4517753
7.48	1.5681862
7.49	1.6845971
7.5	1.5771409
7.51	1.1831347
7.52	1.0398597
7.53	1.4696846
7.54	1.604005
7.55	1.0488144
7.56	1.2816362
7.57	1.4786394
7.58	0.93240345
7.59	1.1383612
7.6	1.5950502
7.61	1.1294066
7.62	0.98613155
7.63	1.3174549
7.64	1.1473159
7.65	1.2995456
7.66	1.6666877
7.67	1.5860956
7.68	1.3174549
7.69	1.6756425
7.7	1.6935518
7.71	0.70853627
7.72	0.82494718
7.73	1.6398237
7.74	1.1562706
7.75	0.47571442
7.76	0.84285659
7.77	1.3890924
7.78	1.6756425
7.79	1.4786394
7.8	1.2189534
7.81	1.604005
7.82	1.8726455
7.83	1.5592315
7.84	0.86972064
7.85	0.52944255
7.86	0.78017378
7.87	0.69958156
7.88	0.65480816
7.89	0.46675971
7.9	0.42198628
7.91	0.82494718
7.92	0.88762999
7.93	1.1920893
7.94	1.0577691
7.95	0.94135815
7.96	1.6487783
7.97	1.7025065
7.98	1.5055034
7.99	1.7293706
8	1.9263737
8.01	1.9890565
8.02	1.8368268
8.03	1.6845971
8.04	1.4249113
8.05	1.004041
8.06	1.0398597
8.07	1.2458174
8.08	1.1383612
8.09	0.82494718
8.1	0.97717685
8.11	1.7114612
8.12	1.9263737
8.13	1.6756425
8.14	1.3353643
8.15	1.4070019
8.16	1.6666877
8.17	1.1114972
8.18	0.75330973
8.19	1.2368628
8.2	1.3980471
8.21	1.2279081
8.22	1.2995456
8.23	1.2547722
8.24	1.0577691
8.25	1.17418
8.26	1.1383612
8.27	1.0577691
8.28	1.3532737
8.29	1.2099987
8.3	0.66376281
8.31	0.5473519
8.32	0.85181123
8.33	1.3890924
8.34	1.7741439
8.35	1.3890924
8.36	1.2189534
8.37	2.0069659
8.38	1.5144581
8.39	1.1831347
8.4	2.060694
8.41	1.371183
8.42	1.0219502
8.43	1.4338659
8.44	1.5771409
8.45	1.604005
8.46	1.4159565
8.47	1.6845971
8.48	1.6577331
8.49	1.3890924
8.5	1.1562706
8.51	1.2189534
8.52	1.5950502
8.53	1.3353643
8.54	1.2368628
8.55	1.4786394
8.56	1.487594
8.57	1.7293706
8.58	2.3114252
8.59	2.1681502
8.6	1.4159565
8.61	1.604005
8.62	1.6398237
8.63	1.630869
8.64	1.9801018
8.65	1.4159565
8.66	1.3801378
8.67	1.9263737
8.68	1.6935518
8.69	1.7472799
8.7	2.0248752
8.71	1.7383252
8.72	1.4428205
8.73	1.2458174
8.74	1.0756785
8.75	0.97717685
8.76	1.1114972
8.77	1.4159565
8.78	1.17418
8.79	1.1294066
8.8	1.6129596
8.81	1.5413221
8.82	1.5323675
8.83	1.630869
8.84	1.2995456
8.85	1.7204158
8.86	2.2576971
8.87	1.6487783
8.88	1.2816362
8.89	1.4965487
8.9	1.2458174
8.91	1.1920893
8.92	1.4338659
